text,http_urls,years
"Half mei 1888 schreef Vincent zijn broer Theo dat hij een goed restaurant had gevonden waar hij iedere dag kon eten voor één franc. Hij had het over restaurant Vénissac aan het Place Lamartine, net naast het logement Café de la Gare waar hij op dat moment verbleef. Een welkome afwisseling, want Vincent had zich flink beklaagd over het slechte eten in Arles. Hij schreef hierover:
""En dat is overal hetzelfde in die restaurantjes. Aardappelen koken is toch niet moeilijk. Onmogelijk. Rijst dan of macaroni, ook niet, of het is smerig vet, of ze maken het niet, met als verontschuldiging: morgen misschien"".",https://www.vangoghroute.nl/frankrijk/arles/restaurant-venissac/?v=mobile,1888
"De Noorderkerk was de eerste kerk waar Vincent naartoe ging toen hij in Amsterdam aankwam. In de weken daarna bleef hij regelmatig vroegpreken in de Noorderkerk bezoeken; kerkdiensten die om 7.00u 's ochtends werden gehouden. Op 10 juni 1877 hoorde hij hier een preek die veel indruk op hem maakte over de gelijkenis van de zaaier. De dominee was Ds. Eliza Laurillard (1830-1908), die een van Vincents favoriete predikers zou worden, omdat hij in staat was op heel eenvoudige manier te spreken en bovendien zeer jeugdig en levendig was in zijn opvattingen.",https://www.vangoghroute.nl/nederland/amsterdam/noorderkerk/,"1877, 1830, 1908"
"In Breda woonden Vincents grootouders. Zijn vader, ooms en tantes groeiden er op. De familie Van Gogh was vanuit Den Haag naar Breda gekomen, omdat Vincents grootvader er in 1822 werd aangesteld als predikant.

In Zevenbergen zat Vincent van Gogh op de jongenskostschool van Jan Provily. Vincent ging hier na de zomer van 1864 naar school - hij was toen 11- en bleef er tot hij twee jaar later tot de HBS in Tilburg werd toegelaten.",https://www.vangoghbrabant.com/nl/home/van-gogh-brabant/erfgoedlocaties,"1822, 1864"
"Het pleintje Place Lamartine bestaat nog steeds, maar het gele huis werd tijdens een bombardement in de Tweede Wereldoorlog verwoest.",https://www.vangoghroute.nl/frankrijk/arles/het-gele-huis/,
"Vincent woonde de laatste zeer productieve maanden van zijn leven in Auvers-sur-Oise, waar hij zelfmoord pleegde.
Vincent kwam op 20 mei 1890 aan in Auvers-sur-Oise. Hij was enkele dagen daarvoor ontslagen uit de inrichting in Saint-Rémy en had met zijn broer al plannen gesmeed om dicht bij hem in of bij Parijs te komen wonen. Hij zou Theo dan regelmatig kunnen zien en zou, onder toezicht van een arts, weer op zichzelf kunnen gaan wonen.",https://www.vangoghroute.nl/frankrijk/auvers-sur-oise/?v=mobile,1890
"Bij aankomst in Arles huurde Vincent de eerste twee maanden een kamer in hotel en restaurant Carrel dat eigendom was Albert Carrel en diens vrouw Cathérine Carrel-Garcin. Het hotel was een gebouw van twee verdiepingen en had een klein terras op het dak en een balkon op de eerste verdieping. Toen Vincent er net was, schreef hij zijn broer Theo: ""Bij vlagen heb ik het gevoel dat mijn bloed weer min of meer wil gaan stromen, wat de laatste tijd in Parijs niet het geval was. Ik kon echt niet meer.""

Resultaat van Vincents toegenomen werklust was dat hij in de eerste drie dagen al drie studies had gemaakt.",https://www.vangoghroute.nl/frankrijk/arles/carrel/,
"Vincent van Gogh woonde in bij zijn oom Johannes 'Jan' van Gogh, die directeur was van de marinewerf in het oostelijke deel van Amsterdam. 's Ochtends stond Vincent vaak vroeg op en genoot dan van het uitzicht op de werf waar duizenden arbeiders langzaam binnenliepen: een geluid dat hem aan het geruis van de zee deed denken. De levendige omgeving fascineerde Vincent en hij kon zich goed voorstellen dat er voor kunstenaars veel te zien was op de scheepswerf.",https://www.vangoghroute.nl/nederland/amsterdam/oom-jan/,
"Kunstenaar Jan Hendrik Weissenbruch (1824–1903) had een studio in de Haagse Kazernestraat 112. Net voordat Vincent in mei 1873 naar Londen vertrok bezocht hij Weissenbruch in zijn atelier en had bewondering voor hem. Niet alleen voor zijn kunst, maar ook voor zijn vrolijke persoonlijkheid. Weissenbruch had op zijn beurt vertrouwen in Vincent. Ze bezochten elkaar weleens op elkaars atelier.

Weissenbruch had tegen Anton Mauve enthousiast over Vincent gepraat. Hij zei: ""hij teekent verdomd goed, ik zou naar zijn studies kunnen werken.""

Om de waarde van zijn oordeel te benadrukken, voegde Weissenbruch er vervolgens tegen Vincent aan toe:

""ze noemen mij het zwaard zonder genade en dat ben ik ook en ik zou 't niet tegen Mauve gezegd hebben als ik geen goeds gevonden had in je studies.""

Het resultaat voor Vincent was dat hij, als Mauve het te druk had, hij bij Weissenbruch langs mocht gaan. Zijn pentekeningen vond Weissenbruch het best.",https://www.vangoghroute.nl/nederland/den-haag/atelier-weissenbruch/,"1824, 1903, 1873"
"François Joseph Delarebeyrette (1825-1886) was de belangrijkste handelaar van kunstwerken van Adolphe Monticelli (1824-1886) in Parijs. Toen Vincent in Parijs woonde was de zaak inmiddels overgenomen door Delarebeyrettes vrouw Eveline en hun zoon Gabriel. De handelaar had in 1886 zeker veertig werken van Monticelli in bezit: een kunstenaar die een belangrijke rol zou gaan spelen wat betreft Vincents ideeën over kleur. Vincent moet er meerdere malen geweest zijn en refereerde in zijn brieven aan zijn broer Theo weleens aan de werken die hij in de galerie had gezien. Hij zag Monticelli als een grote colorist die werkte in de voetsporen van Eugène Delacroix. Hij schreef: ""Dat Monticelli soms een boeket bloemen nam met de bedoeling op één paneel het hele gamma van zijn rijkste en meest uitgebalanceerde tonen bijeen te brengen? En dat je regelrecht terug moet naar Delacroix om zo'n samenklank van kleuren te vinden?""

Theo hadden zes werken van Monticelli, onder andere Vaas met bloemen.",https://www.vangoghroute.nl/frankrijk/parijs/delarebeyrette/,"1825, 1886, 1824, 1886, 1886"
"Toen Vincent in 1869 in Den Haag aankwam om als jongste bediende bij kunsthandel Goupil & Cie te gaan werken, trok hij in het pension van Marinus Roos en zijn vrouw Dina Margrieta van Aalst, die aan de Lange Beestenmarkt 32 woonden. Voor kost en inwoning betaalde Vincent vierendertig gulden, terwijl hij met zijn baan bij Goupil & Cie aanvankelijk slechts dertig gulden verdiende. Zijn vader legde daarom maandelijks vier gulden voor de huur bij.Tijdens zijn verblijf had Vincent contact met een andere gast in het pension, Willem Marinus Valkis, met wie Vincent eens ging roeien en die later ook bij de firma Goupil zou gaan werken.

Van november 1873 tot en met oktober 1879 verbleef Vincents broer Theo ook in het hetzelfde pension. Vincent schreef Theo dat ze bij Roos altijd heel vriendelijk voor hem waren, reden voor hem om zijn broer een hart onder de riem te steken: ""Ik twijfel niet of je te huis bij Roos zal je ook wel bevallen."" Toen Theo er eenmaal zat, vroeg Vincent hem regelmatig om zijn groeten over te brengen aan de familie.",https://www.vangoghroute.nl/nederland/den-haag/pension-roos/?v=mobile,"1869, 1873, 1879"
"Vincent vond de Leurseweg (of het Leursestraatje, nu o.a. de Stationsstraat en de Baai) in Etten prachtig. In oktober 1881 schreef hij zijn vriend Anthon van Rappard: ""Weet ge wat dezer dagen prachtig mooi is, de weg naar 't station & naar de Leur met die oude knotwilgen, ge hebt er zelf een sepia van. Hoe mooi die boomen nu zijn kan ik U niet zeggen. Heb een stuk of 7 groote studies van enkele stammen gemaakt.""

Het is niet bekend op welke studies Vincent in deze brief doelde, maar er zijn een aantal werken van wilgen en de Leurseweg bekend, zoals Weg in Etten die gemaakt moet zijn ter hoogte van de huidige Baai en Weg met knotwilgen ter hoogte van de huidige Stationsstraat. Hoewel Vincent zich vanaf juli 1881 vooral bezighield met het tekenen naar model, gaf hij ook aandacht aan landschappen.",https://www.vangoghroute.nl/nederland/etten/leurseweg/,"1881, 1881"
"Vincent trok veel naar buiten om schilderijen te maken. In mei 1884 bezocht hij samen met zijn vriend Anthon van Rappard de Opwettense watermolen die tussen Nuenen en Eindhoven staat. Het schilderij Watermolen te Opwetten is waarschijnlijk tijdens of naar aanleiding van dat bezoek ontstaan. Het schilderij bevindt zich in een particuliere collectie. Vincent maakte ook een schilderij van een andere molen, namelijk de Collse watermolen.",https://www.vangoghroute.nl/nederland/nuenen/opwettense-watermolen/?v=mobile,1884
"In januari 1871 stopte Dorus met zijn werk als predikant in Zundert en begon hij bij de protestante gemeente van Helvoirt. Hij zou in de toekomst nog weleens in Zundert preken en Vincent vergezelde hem dan eens, bijvoorbeeld op 21 juli 1878.",https://www.vangoghroute.nl/nederland/zundert/kerk/,"1871, 1878"
"Clasina Maria 'Sien' Hoornik (1850-1904) was de vriendin van Vincent in 1882 en 1883. Sien woonde met haar moeder in Den Haag. Dat Vincent daar weleens over de vloer kwam, blijkt uit de tekening die hij daar vanachter het raam op de eerste verdieping moet hebben gemaakt: Opgebroken Noordstraat met spitters. Deze tekening toont het graafwerk dat in 1882 tegenover het huis verricht werd om riolering aan te leggen bij een in aanbouw zijnde bakkerij. Sien, die al een dochtertje had en op dat moment zwanger was van haar tweede kind zou na haar bevalling bij Vincent aan de Schenkweg gaan wonen. Haar moeder kon daarom een kleiner huis betrekken.",https://www.vangoghroute.nl/nederland/den-haag/sien-hoornik/?v=mobile,"1850, 1904, 1882, 1883, 1882"
"Vincent was geheel afhankelijk van zijn broer Theo voor de financiën, want het lukte nog niet zijn kunstwerken te verkopen. De relatie tussen Vincent en Theo was door het uitblijven van verkopen gespannen en de verwijten van Vincent aan het adres van Theo waren fors. Toch bleef Theo, die als kunsthandelaar in Parijs werkte, Vincent maandelijks 150 francs sturen in ruil voor enkele werken. Ze maakten de afspraak dat vanaf dat moment alle schilderijen die Vincent maakte ook eigendom van Theo waren.

Na enige tijd in het atelier bij zijn ouders gewerkt te hebben, zocht Vincent een ruimer atelier en vond dat bij Johannes Schafrat. Toen zijn vader in maart 1885 overleed aan een hartaanval, verhuisde Vincent niet lang daarna uit huis om ook in het atelier te wonen.",https://www.vangoghroute.nl/nederland/nuenen/,1885
"Toen Vincent in Parijs woonde, kwam hij geregeld bij Durand-Ruel om kunstwerken te bekijken. Toen Vincent in Arles woonde, liet hij zich door Theo op de hoogte houden van de tentoonstellingen die bij Durand-Ruel werden gehouden.",https://www.vangoghroute.nl/frankrijk/parijs/gallery-durand-ruel/,
"In december 1887 schreef Paul Gauguin aan Vincent dat hij een schilderij voor hem had achtergelaten bij lijstenmaker Pierre Cluzel in de rue Fontaine Saint-Georges. Gauguin had de tentoonstelling bezocht die Vincent in november-december 1887 in Restaurant du Chalet had georganiseerd en daarna waren de twee tot een ruil gekomen. Vincent ruilde twee schilderijen van uitgebloeide zonnebloemen tegen het doek Aan de oever van het meer, Martinique van Gauguin. Gauguin haalde op zijn beurt de schilderijen van Vincent op bij Boussod, Valadon & Cie aan de Boulevard Montmartre 19 waar Vincents broer Theo werkte.",https://www.vangoghroute.nl/frankrijk/parijs/cluzel/,"1887, 1887"
"Vincents atelier bij zijn ouders in huis was klein en niet zo fijn gelegen. Bovendien was de verhouding met zijn familie niet optimaal; Vincent verlangde daarom naar een nieuw atelier. In mei 1884 was het zover, hij huurde een atelier bij de katholieke koster Johannes Schafrat en diens vrouw Adriana Schafrat-Van Eerd voor 75 gulden per jaar.",https://www.vangoghroute.nl/nederland/nuenen/schafrat/,1884
"Vincent woonde iedere zondag meerdere kerkdiensten bij in verschillende kerken. Op 21 januari 1877 bezocht hij de Trinitatiskapel, het kerkje van de Evangelisch Lutherse gemeente waar Johannes Wilhelmus Beversen (1834-1897) dominee was. Hij schreef aan zijn broer Theo:

""Dezen morgen was ik bij Ds Beversen in een oud klein kerkje, er was Avondmaal en zijn tekst was ""Zoo wie dorst die kome tot Mij en drinke.""""",https://www.vangoghroute.nl/nederland/dordrecht/trinitatiskapel/?v=mobile,"1877, 1834, 1897"
"Op 23 december 1888 werd Vincent opgenomen in het ziekenhuis van Arles, omdat hij in een vlaag van waanzin een deel van zijn oor had afgesneden en dat naar een prostituee had gebracht. In het ziekenhuis werd hij behandeld door dokter Félix Rey (1865-1932). De eerste dagen in het ziekenhuis ging Vincents geestelijke situatie achteruit blijkt uit het verslag van Rey: Vincent zat in zijn nachthemd achter de dienstdoende zuster aan, verbood ook maar iemand om bij zijn bed in de buurt te komen en ging naar het kolenhok om zich te wassen. Vincent moest daarom naar een isoleerkamer.

Hij verbleef tot begin mei in het hospitaal. Omdat hij ook lange momenten van helderheid had, kreeg hij toestemming om buiten te schilderen en maakte daar gretig gebruik van. Gedurende zijn verblijf in het ziekenhuis maakte hij veel landschappen, maar schilderde bijvoorbeeld ook Ziekenzaal in het hospitaal en Binnenplaats van het hospitaal. Ook mocht hij weleens het stadje in, bijvoorbeeld toen zijn vriend Paul Signac hem kwam opzoeken.",https://www.vangoghroute.nl/frankrijk/arles/ziekenhuis/?v=mobile,"1888, 1865, 1932"
"Toen Vincent slechts twee weken in Ramsgate was schreef hij zijn broer Theo over de plannen die Stokes had met de school:

""Mr. Stokes heeft mij verteld dat hij plan heeft om na de vacantie te gaan verhuizen, natuurlijk met de geheele school, naar een dorp aan den Theems, een uur of 3 van Londen. Dan zou hij de school wat anders inrichten en misschien uitbreiden.""

In juni 1876 verhuisde de school met alle leerlingen naar Isleworth. Hoewel Vincent nadacht over een andere functie, verhuisde hij met de school mee.",https://www.vangoghroute.nl/engeland/ramsgate/kostschool-stokes/?v=mobile,1876
"Tijdens zijn verblijf in Londen bezocht Vincent zeker het South Kensington Museum (dat sinds 1899 het Victoria & Albert Museum heet). Het museum wilde kunst toegankelijk maken voor iedereen en toonde voornamelijk toegepaste en decoratieve kunst, maar ook beeldende kunst zoals schilderijen, prenten en tekeningen. Vincent schreef op 4 augustus 1884 aan zijn broer Theo, die destijds in Londen verbleef, dat hij hem aanraadde het museum te bezoeken en naar het werk De boerderij in het dal van John Constable (1776-1837) te kijken.",https://www.vangoghroute.nl/engeland/londen/south-kensington-museum/,"1899, 1884, 1776, 1837"
"Een onderwijzer uit Ramsgate bood hem aan om tegen kost en inwoning -maar zonder salaris- voor hem te komen werken als assistent onderwijzer op zijn jongensschool. Vincent was blij iets gevonden te hebben en ging op het aanbod in. Hij had geen idee wat hij van Ramsgate kon verwachten. Het enige dat hij wist was dat het een badplaats was met 12.000 inwoners.

Het afscheid van zijn ouders viel Vincent zwaarder dan ooit nu hij zijn koers veranderde en uit de kunst het onderwijs in ging. De natuur weerspiegelde zijn gevoel en Vincent vond mooie woorden om dat te beschrijven:

""Reeds dikwijls namen wij afscheid van elkander; wel was er ditmaal meer wee in dan vroeger, van beide kanten, maar moed ook, door het vaster vertrouwen op, bij de grooter behoefte aan zegen. En was het niet of de natuur met ons medevoelde, 't was zoo grijs en min of meer bar een paar uur geleden.""",https://www.vangoghroute.nl/engeland/ramsgate/?v=mobile,
"Sien woonde in maart en april met haar moeder Maria Wilhelmina Hoornik-Pellers (1829-1910) op de Noordstraat 16. Maar omdat Sien na haar bevalling met haar dochter en nieuwe kindje bij Vincent op de Schenkweg zou gaan wonen, kon haar moeder naar een kleiner huis verhuizen.",https://www.vangoghroute.nl/nederland/den-haag/sien-hoornik-2/,"1829, 1910"
"Vincent volgde teken- en schilderles aan de kunstacademie Antwerpen.

Voor een tekenconcours maakte Vincent een figuur van een Germanicus.
Hij vermoedde zelf laatste te worden met de tekening, omdat hij afweek van de norm en bovendien had hij die ervaring eerder al eens in Brussel gehad. Vincent schreef:

""Maar die teekening die de beste zal geacht worden, heb ik zien maken – ik zat er vlak achter – en het is correct, het is al wat ge wilt, maar het is dood en dat zijn al die teekeningen die ik zag.""

Vincent had kritiek op de kunstacademie en op de wijze van lesgeven. Naar zijn mening werd een foutief kleurgebruik gedoceerd die niet ""echt"" of ""naar het leven"" was. In deze periode kwamen bij Vincent al gedachten op om naar Parijs te gaan om daar samen met zijn broer Theo te kunnen zijn en bovendien gemakkelijker naar naakt te kunnen schilderen.

In zijn korte academietijd schilderde Vincent waarschijnlijk het werk Kop van een skelet met brandende sigaret. Op de academie werd namelijk gebruik gemaakt van een skelet.",https://www.vangoghroute.nl/belgie/antwerpen/kunstacademie/?v=mobile,
"Vanaf begin november 1880 stond Vincent ingeschreven voor de cursus 'Dessin d'après l'antique' aan Académie Royale des Beaux-Arts in Brussel. Zowel de kunstenaar Willem Roelofs als de kunsthandelaar Tobias Schmidt hadden Vincent aangeraden om lessen aan de kunstacademie te volgen. Hij had daar weinig trek in, maar schreef zijn broer Theo: ""Toch verwerp ik het idee van de Ecole des Beaux-Arts niet, voor zover ik er bijvoorbeeld 's avonds heen kan gaan zolang ik hier ben, als het gratis is of niet duur.""

Dat bleek zo te zijn. Het onderwijs in Brussel was gratis en bovendien bood een studie aan de academie de mogelijkheid om ook 's winters in ieder geval in een licht en warm atelier te werken. Vincent besloot zich daarom toch in te schrijven. Op 5 december deed hij mee aan een wedstrijd waar hij laatste werd. Niet lang daarna verliet hij de academie.",https://www.vangoghroute.nl/belgie/brussel/academie/,1880
"In Breda woonden de grootouders van Vincent van Gogh. Zijn vader, ooms en tantes groeiden er op. De familie Van Gogh was vanuit Den Haag naar Breda gekomen, omdat Vincents grootvader er in 1822 werd aangesteld als predikant.

In Zevenbergen zat Vincent van Gogh op de jongenskostschool van Jan Provily. Vincent ging hier na de zomer van 1864 naar school, hij was toen 11 jaar oud.",https://www.vangoghbrabant.com/nl/home/van-gogh-brabant/plan-je-bezoek/bezoekerslocaties,"1822, 1864"
"De eerste -en meteen laatste- litho uit de serie is De Aardappeleters die hij maakte naar aanleiding van het gelijknamige schilderij. Volgens herinneringen van Dirk Gestel tekende Vincent de afbeelding direct op de steen, zonder vooraf een schets te maken. Hij veegde met zijn vingers in het krijt. Dit was een onomkeerbare fout, omdat het tot vlekken leidde in het drukproces. Vincent beklaagde zich in een brief aan Theo dan ook over het resultaat:

""Hetgeen gij zegt van de lith.,dat het effekt wollig is, vind ik zelf ook en is in zooverre mijn eigen schuld niet, daar de lithograaf beweerde dat, omdat ik haast nergens wit op den steen had gelaten, het niet goed drukken zou. Ik heb toen op zijn aanraden lichte plekken uitgebeten. als ik 't eenvoudig gedrukt had zoo als de teekening was zou het algemeen donkerder geweest zijn maar niet gerammeld hebben en er zou atmosfeer tusschen de plans zijn gebleven.""",https://www.vangoghroute.nl/nederland/nuenen/gestel/?v=mobile,
"Iets meer dan een jaar na Vincents aankomst in Parijs luchtte Theo van Gogh op 14 maart 1887 zijn hart over Vincent in een brief aan hun zus Willemien:

""Het is bij mij thuis onhoudbaar, niemand wil meer bij me aan huis komen, daar dit altijd standjes geeft en bovendien is hij zoo slordig dat het huishouden er alles behalve aanlokkelijk uitziet. Ik hoop maar dat hij op zichzelf zal gaan wonen, daar heeft hij wel over gesproken, maar als ik het zou zeggen dat hij weg moest gaan, zou het juist een reden zijn voor hem om te blijven."" (bron: brief Theo van Gogh aan Willemien van Gogh, 14 maart 1887)

Toch keerden de verhoudingen zich niet lang daarna ten goede. In april berichtte Theo aan zijn zus dat Vincent en hij vrede hadden gesloten en dat hij hem had gevraagd te blijven.

Vincent vertrok uiteindelijk op 19 februari 1888 naar Arles: hij was moe van het drukke leven in de stad en ging in het zuiden op zoek naar helderder licht en de rust van het platteland. Theo zou nog ruim een jaar in het appartement wonen.",https://www.vangoghroute.nl/frankrijk/parijs/rue-lepic/,"1887, 1887, 1888"
"William Port Stokes (ca. 1832-1890), een onderwijzer uit Ramsgate bood hem aan om tegen kost en inwoning -maar zonder salaris- voor hem te komen werken als assistent onderwijzer op zijn jongensschool. Vincent was blij iets gevonden te hebben en ging op het aanbod in. Hij had geen idee wat hij van Ramsgate kon verwachten. Het enige dat hij wist was dat het een badplaats was met 12.000 inwoners.

Het afscheid van zijn ouders viel Vincent zwaarder dan ooit nu hij zijn koers veranderde en uit de kunst het onderwijs in ging. De natuur weerspiegelde zijn gevoel en Vincent vond mooie woorden om dat te beschrijven: ""Reeds dikwijls namen wij afscheid van elkander; wel was er ditmaal meer wee in dan vroeger, van beide kanten, maar moed ook, door het vaster vertrouwen op, bij de grooter behoefte aan zegen. En was het niet of de natuur met ons medevoelde, 't was zoo grijs en min of meer bar een paar uur geleden.""",https://www.vangoghroute.nl/engeland/ramsgate/,"1832, 1890"
"De Engelse handelaar Hardy-Alan (1862-1933) had een winkel in Parijs met onder meer verf, doeken en ezels waar Vincent wel eens kwam. Onder andere Auguste Renoir, Henri Fantin-Latour en James McNeill Whistler kochten ook materialen bij Hardy-Alan. Hardy Alan produceerde zelf doeken en verf in de werkplaats in Vanves (net buiten Parijs).",https://www.vangoghroute.nl/frankrijk/parijs/hardy-alan/,"1862, 1933"
"Vincent bezocht de Bloemenmarkt in Amsterdam ieder geval op 4 juni 1877. Hij schreef er geanimeerd over naar zijn broer Theo:
""Kwam heden voorbij de bloemmarkt op den Singel, daar zag ik iets zoo aardigs. Een boer stond daar met eene groote partij potten, allerlei bloemen en heesters, achteraan stond de klimop en daartusschen in zat zijn meiske, een kindje zooals Maris zou schilderen, zoo eenvoudig met een zwart mutsje op en een paar zoo levendige en toch zoo vriendelijke oogen, zij zat te breijen, de man recommandeerde zijne waar en als ik het had kunnen doen zou ik er wat graag van hebben gekocht en hij zeide zoo en wees onwillekeurig op zijn dochtertje ook: ""Ziet het er niet goed uit.""",https://www.vangoghroute.nl/nederland/amsterdam/bloemenmarkt/,1877
